Method,Model,SST-2,SST-5,SNLI,MNLI,RTE,TREC,CB,BoolQ,WSC,WiC,MultiRC,COPA,ReCoRD,SQUAD,DROP
MeZO,RoBERTa-large,93.3,53.2,83,78.3,78.6,94.3,,,,,,,,,
MeZO LoRA,RoBERTa-large,93.4,52.4,84,77.9,77.6,95,,,,,,,,,
DiZO LoRA,RoBERTa-large,94.3,54.1,83.7,77.6,79.3,95.7,,,,,,,,,
32-bit Addax,RoBERTa-large,90.6,49.1,79.3,69.9,64.6,89.6,,,,,,,,,
16-bit Addax,RoBERTa-large,91.4,50.4,79.3,68.2,67.2,90.8,,,,,,,,,
16-bit Addax,OPT-13B,95.1,,,,85.2,,92.9,83,64.4,70.7,77,91,81.9,89.3,34.7
LoHO-SGD-inter,OPT-13B,,,,,76.2,,71.4,67.8,,63.6,58.6,,,,
LoHO-Adam-inter,OPT-13B,,,,,77.6,,69.6,64.7,,65.4,67.2,,,,
LoHO-Adam-intra,OPT-13B,,,,,75.5,,71.4,64,,65.4,66.5,,,,
MeZO,OPT-2.7B,90,,,,63.5,,69.6,67.4,61.5,57.6,58.7,,,68.7,22.9
MeZO (LoRA),OPT-2.7B,91.4,,,,66.6,,71.1,67,63.4,57.9,56.4,,,69,24.3
DiZO,OPT-2.7B,92.5,,,,68.2,,71.4,67,63.4,57.9,56.4,,,69,24.3
DiZO LoRA,OPT-2.7B,91.5,,,,68.4,,71.8,70,61.6,58.4,56.2,,,74.4,23.3
Bilevel ZOFO (LoRA),OPT-1.3B,0.9331,,,,0.7401,,0.9167,0.7433,0.6428,0.6447,,0.74,0.7183,,
Bilevel ZOFO (prefix),OPT-1.3B,0.855,,,,0.7304,,0.869,0.734,0.581,0.6317,,0.7267,0.714,,
Bilevel ZOFO (prompt),OPT-1.3B,0.8335,,,,0.6867,,0.7679,0.7367,0.5133,0.6267,,0.7633,0.7257,,
FO (LoRA),OPT-1.3B,0.9258,,,,0.7292,,0.8512,0.7456,0.6474,0.6463,,0.75,0.7206,,
FO (prefix),OPT-1.3B,0.8133,,,,0.7136,,0.8571,0.73,0.5705,0.5387,,0.7167,0.7093,,
FO (prompt),OPT-1.3B,0.8016,,,,0.6936,,0.7142,0.715,0.5062,0.5386,,0.7466,0.7163,,
MeZO (FT),OPT-1.3B,0.8214,,,,0.6587,,0.7767,0.6927,0.5054,0.5543,,0.7,0.698,,
MeZO (LoRA),OPT-1.3B,0.8501,,,,0.6755,,0.7607,0.686,0.557,0.5549,,0.72,0.7083,,
MeZO (prefix),OPT-1.3B,0.8218,,,,0.6972,,0.7945,0.6573,0.5105,0.5622,,0.7033,0.7047,,
MeZO (prompt),OPT-1.3B,0.7463,,,,0.5415,,0.5821,0.626,0.4654,0.5574,,0.7067,0.707,,
Zero-shot,RoBERTa-large,79,35.5,50.2,48.8,51.4,32,,,,,,,,,
LP,RoBERTa-large,76,40.3,66,56.5,59.4,51.3,,,,,,,,,
FT,RoBERTa-large,91.9,47.5,77.5,70,66.4,85,,,,,,,,,
PEFT,RoBERTa-large,91.9,47.7,77.2,67.7,66.6,85.7,,,,,,,,,
MeZO,RoBERTa-large,90.5,45.5,68.5,58.7,64,76.9,,,,,,,,,
MeZO (PEFT),RoBERTa-large,91.4,45.8,71.6,62.1,61,80.3,,,,,,,,,
HiZOO,RoBERTa-large,93.2,46.2,74.6,64.9,66.8,79.8,,,,,,,,,
HiZOO (PEFT),RoBERTa-large,92.3,47.2,71.1,62.1,65.4,82,,,,,,,,,
MeZO,LlaMA3-8b,92.2,,,,74.4,,69.6,,63.5,57.8,77.6,88,,,
HiZOO,LlaMA3-8b,93.5,,,,75.1,,69.6,,63.5,59.7,78.2,89,,,
HiZOO-L,LlaMA3-8b,94.3,,,,75.1,,69.6,,63.5,57.7,77.9,89,,,
MeZO,OPT-13B,91.4,,,,66.1,,66,,63.5,59.4,57.3,88,,,
HiZOO,OPT-13B,92.1,,,,69.3,,69.6,,63.5,59.4,61.3,89,,,
HiZOO-L,OPT-13B,92.1,,,,68.2,,67.9,,65.4,59.4,61.1,89,,,
